,date,country,D,H,I,M,S
235,2021-06-18,Sweden,0,0,0,9,0
236,2021-06-18,Japan,18,0,0,103,0
237,2021-06-19,Afghanistan,3,0,0,34,0
238,2021-06-19,Sweden,0,0,0,9,0
239,2021-06-19,Japan,18,0,0,103,0
240,2021-06-20,Afghanistan,3,0,0,34,0
241,2021-06-20,Sweden,0,0,0,9,0
242,2021-06-20,Japan,18,0,0,103,0
243,2021-06-21,Afghanistan,3,0,0,34,0
244,2021-06-21,Sweden,0,0,0,9,0
245,2021-06-21,Japan,18,0,0,103,0
246,2021-06-22,Afghanistan,3,0,0,34,0
247,2021-06-22,Sweden,0,0,0,9,0
248,2021-06-22,Japan,18,0,0,103,0
249,2021-06-23,Afghanistan,3,0,0,34,0
250,2021-06-23,Sweden,0,0,0,9,0
251,2021-06-23,Japan,18,0,0,103,0
252,2021-06-24,Afghanistan,3,0,0,34,0
253,2021-06-24,Sweden,0,0,0,9,0
254,2021-06-24,Japan,18,0,0,103,0
255,2021-06-25,Afghanistan,3,0,0,34,0
256,2021-06-25,Sweden,0,0,0,9,0
257,2021-06-25,Japan,18,0,0,103,0
258,2021-06-26,Afghanistan,3,0,0,34,0
259,2021-06-26,Sweden,0,0,0,9,0
260,2021-06-26,Japan,18,0,0,103,0
261,2021-06-27,Afghanistan,3,0,0,34,0
262,2021-06-27,Sweden,0,0,0,9,0
263,2021-06-27,Japan,18,0,0,103,0
264,2021-06-28,Afghanistan,3,0,0,34,0
265,2021-06-28,Sweden,0,0,0,9,0
266,2021-06-28,Japan,18,0,0,103,0
267,2021-06-29,Afghanistan,3,0,0,34,0
268,2021-06-29,Sweden,0,0,0,9,0
269,2021-06-29,Japan,18,0,0,103,0
270,2021-06-30,Afghanistan,3,0,0,34,0
271,2021-06-30,Sweden,0,0,0,9,0
272,2021-06-30,Japan,18,0,0,103,0
273,2021-07-01,Afghanistan,3,0,0,34,0
274,2021-07-01,Sweden,0,0,0,9,0
275,2021-07-01,Japan,18,0,0,103,0
276,2021-07-02,Afghanistan,3,0,0,34,0
277,2021-07-02,Sweden,0,0,0,9,0
278,2021-07-02,Japan,18,0,0,103,0
279,2021-07-03,Afghanistan,3,0,0,34,0
280,2021-07-03,Sweden,0,0,0,9,0
281,2021-07-03,Japan,18,0,0,103,0
282,2021-07-04,Afghanistan,3,0,0,34,0
283,2021-07-04,Sweden,0,0,0,9,0
284,2021-07-04,Japan,18,0,0,103,0
285,2021-07-05,Afghanistan,3,0,0,34,0
286,2021-07-05,Sweden,0,0,0,9,0
287,2021-07-05,Japan,18,0,0,103,0
288,2021-07-06,Afghanistan,3,0,0,34,0
289,2021-07-06,Sweden,0,0,0,9,0
290,2021-07-06,Japan,18,0,0,103,0
291,2021-07-07,Afghanistan,3,0,0,34,0
292,2021-07-07,Sweden,0,0,0,9,0
293,2021-07-07,Japan,18,0,0,103,0
294,2021-07-08,Afghanistan,3,0,0,34,0
295,2021-07-08,Sweden,0,0,0,9,0
296,2021-07-08,Japan,18,0,0,103,0
297,2021-07-09,Afghanistan,3,0,0,34,0
298,2021-07-09,Sweden,0,0,0,9,0
299,2021-07-09,Japan,18,0,0,103,0
300,2021-07-10,Afghanistan,3,0,0,34,0
301,2021-07-10,Sweden,0,0,0,9,0
302,2021-07-10,Japan,18,0,0,103,0
303,2021-07-11,Afghanistan,3,0,0,34,0
304,2021-07-11,Sweden,0,0,0,9,0
305,2021-07-11,Japan,18,0,0,103,0
306,2021-07-12,Afghanistan,3,0,0,34,0
307,2021-07-12,Sweden,0,0,0,9,0
308,2021-07-12,Japan,18,0,0,103,0
309,2021-07-13,Afghanistan,3,0,0,34,0
310,2021-07-13,Sweden,0,0,0,9,0
311,2021-07-13,Japan,18,0,0,103,0
312,2021-07-14,Afghanistan,3,0,0,34,0
313,2021-07-14,Sweden,0,0,0,9,0
314,2021-07-14,Japan,18,0,0,103,0
315,2021-07-15,Afghanistan,3,0,0,34,0
316,2021-07-15,Sweden,0,0,0,9,0
317,2021-07-15,Japan,18,0,0,103,0
318,2021-07-16,Afghanistan,3,0,0,34,0
319,2021-07-16,Sweden,0,0,0,9,0
320,2021-07-16,Japan,18,0,0,103,0
321,2021-07-17,Afghanistan,3,0,0,34,0
322,2021-07-17,Sweden,0,0,0,9,0
323,2021-07-17,Japan,18,0,0,103,0
324,2021-07-18,Afghanistan,3,0,0,34,0
325,2021-07-18,Sweden,0,0,0,9,0
326,2021-07-18,Japan,18,0,0,103,0
327,2021-07-19,Afghanistan,3,0,0,34,0
328,2021-07-19,Sweden,0,0,0,9,0
329,2021-07-19,Japan,18,0,0,103,0
330,2021-07-20,Afghanistan,3,0,0,34,0
331,2021-07-20,Sweden,0,0,0,9,0
332,2021-07-20,Japan,18,0,0,103,0
333,2021-07-21,Afghanistan,3,0,0,34,0
334,2021-07-21,Sweden,0,0,0,9,0
335,2021-07-21,Japan,18,0,0,103,0
336,2021-07-22,Afghanistan,3,0,0,34,0
337,2021-07-22,Sweden,0,0,0,9,0
338,2021-07-22,Japan,18,0,0,103,0
339,2021-07-23,Afghanistan,3,0,0,34,0
340,2021-07-23,Sweden,0,0,0,9,0
341,2021-07-23,Japan,18,0,0,103,0
342,2021-07-24,Afghanistan,3,0,0,34,0
343,2021-07-24,Sweden,0,0,0,9,0
344,2021-07-24,Japan,18,0,0,103,0
345,2021-07-25,Afghanistan,3,0,0,34,0
346,2021-07-25,Sweden,0,0,0,9,0
347,2021-07-25,Japan,18,0,0,103,0
348,2021-07-26,Afghanistan,3,0,0,34,0
349,2021-07-26,Sweden,0,0,0,9,0
350,2021-07-26,Japan,18,0,0,103,0
351,2021-07-27,Afghanistan,3,0,0,34,0
352,2021-07-27,Sweden,0,0,0,9,0
353,2021-07-27,Japan,18,0,0,103,0
354,2021-07-28,Afghanistan,3,0,0,34,0
355,2021-07-28,Sweden,0,0,0,9,0
356,2021-07-28,Japan,18,0,0,103,0
357,2021-07-29,Afghanistan,3,0,0,34,0
358,2021-07-29,Sweden,0,0,0,9,0
359,2021-07-29,Japan,18,0,0,103,0
360,2021-07-30,Afghanistan,3,0,0,34,0
361,2021-07-30,Sweden,0,0,0,9,0
362,2021-07-30,Japan,18,0,0,103,0
363,2021-07-31,Afghanistan,3,0,0,34,0
364,2021-07-31,Sweden,0,0,0,9,0
365,2021-07-31,Japan,18,0,0,103,0
366,2021-08-01,Afghanistan,3,0,0,34,0
367,2021-08-01,Sweden,0,0,0,9,0
368,2021-08-01,Japan,18,0,0,103,0
369,2021-08-02,Afghanistan,3,0,0,34,0
370,2021-08-02,Sweden,0,0,0,9,0
371,2021-08-02,Japan,18,0,0,103,0
372,2021-08-03,Afghanistan,3,0,0,34,0
373,2021-08-03,Sweden,0,0,0,9,0
374,2021-08-03,Japan,18,0,0,103,0
375,2021-08-04,Afghanistan,3,5,0,29,0
376,2021-08-04,Sweden,0,1,0,8,0
377,2021-08-04,Japan,18,19,0,84,0
378,2021-08-05,Afghanistan,3,8,1,25,0
379,2021-08-05,Sweden,0,0,1,8,0
380,2021-08-05,Japan,18,24,8,71,0
381,2021-08-06,Afghanistan,3,10,3,21,0
382,2021-08-06,Sweden,0,1,1,7,0
383,2021-08-06,Japan,18,33,11,59,0
384,2021-08-07,Afghanistan,3,8,7,19,0
385,2021-08-07,Sweden,0,2,1,6,0
386,2021-08-07,Japan,18,32,18,53,0
387,2021-08-08,Afghanistan,3,7,9,18,0
388,2021-08-08,Sweden,0,2,1,6,0
389,2021-08-08,Japan,18,26,26,51,0
390,2021-08-09,Afghanistan,3,7,10,16,1
391,2021-08-09,Sweden,0,3,0,6,0
392,2021-08-09,Japan,18,18,27,54,4
393,2021-08-10,Afghanistan,3,6,9,17,2
394,2021-08-10,Sweden,0,2,1,6,0
395,2021-08-10,Japan,18,16,29,52,6
396,2021-08-11,Afghanistan,3,4,7,18,5
397,2021-08-11,Sweden,0,0,3,6,0
398,2021-08-11,Japan,18,11,27,56,9
399,2021-08-12,Afghanistan,3,2,7,19,6
400,2021-08-12,Sweden,0,0,3,6,0
401,2021-08-12,Japan,18,7,24,58,14
402,2021-08-13,Afghanistan,3,3,5,20,6
403,2021-08-13,Sweden,0,0,3,6,0
404,2021-08-13,Japan,18,7,15,63,18
405,2021-08-14,Afghanistan,3,1,6,21,6
406,2021-08-14,Sweden,0,1,2,6,0
407,2021-08-14,Japan,18,4,13,66,20
408,2021-08-15,Afghanistan,3,0,5,22,7
409,2021-08-15,Sweden,0,1,0,7,1
410,2021-08-15,Japan,18,1,11,68,23
411,2021-08-16,Afghanistan,3,0,3,23,8
412,2021-08-16,Sweden,0,0,1,7,1
413,2021-08-16,Japan,18,1,6,72,24
414,2021-08-17,Afghanistan,3,0,3,23,8
415,2021-08-17,Sweden,0,0,1,7,1
416,2021-08-17,Japan,18,1,6,72,24
417,2021-08-18,Afghanistan,3,3,1,20,10
418,2021-08-18,Sweden,0,1,1,6,1
419,2021-08-18,Japan,18,11,3,64,25
420,2021-08-19,Afghanistan,3,7,1,15,11
421,2021-08-19,Sweden,0,0,2,6,1
422,2021-08-19,Japan,18,19,3,56,25
423,2021-08-20,Afghanistan,3,7,1,15,11
424,2021-08-20,Sweden,0,1,1,6,1
425,2021-08-20,Japan,18,18,10,50,25
426,2021-08-21,Afghanistan,3,5,4,14,11
427,2021-08-21,Sweden,0,0,2,6,1
428,2021-08-21,Japan,18,15,16,47,25
429,2021-08-22,Afghanistan,3,6,4,13,11
430,2021-08-22,Sweden,0,0,2,6,1
431,2021-08-22,Japan,18,12,22,44,25
432,2021-08-23,Afghanistan,3,5,5,13,11
433,2021-08-23,Sweden,0,1,1,6,1
434,2021-08-23,Japan,18,10,26,44,23
435,2021-08-24,Afghanistan,4,4,6,13,10
436,2021-08-24,Sweden,0,1,1,6,1
437,2021-08-24,Japan,19,10,23,43,26
438,2021-08-25,Afghanistan,4,4,3,19,7
439,2021-08-25,Sweden,0,2,0,6,1
440,2021-08-25,Japan,20,11,19,45,26
441,2021-08-26,Afghanistan,5,6,4,16,6
442,2021-08-26,Sweden,0,1,1,6,1
443,2021-08-26,Japan,21,6,18,50,26
444,2021-08-27,Afghanistan,5,2,6,17,7
445,2021-08-27,Sweden,0,1,1,6,1
