,date,country,D,H,I,M,S
1140,2022-04-16,Afghanistan,9,2,0,26,0
1141,2022-04-16,Sweden,2,0,0,7,0
1142,2022-04-16,Japan,43,6,3,69,0
1143,2022-04-17,Afghanistan,9,3,0,25,0
1144,2022-04-17,Sweden,2,0,0,7,0
1145,2022-04-17,Japan,43,6,4,68,0
1146,2022-04-18,Afghanistan,9,2,2,24,0
1147,2022-04-18,Sweden,2,1,0,6,0
1148,2022-04-18,Japan,43,6,5,67,0
1149,2022-04-19,Afghanistan,9,2,2,24,0
1150,2022-04-19,Sweden,2,0,1,6,0
1151,2022-04-19,Japan,43,4,6,68,0
1152,2022-04-20,Afghanistan,9,2,2,24,0
1153,2022-04-20,Sweden,2,0,1,6,0
1154,2022-04-20,Japan,43,5,4,68,1
1155,2022-04-21,Afghanistan,9,1,3,24,0
1156,2022-04-21,Sweden,2,0,1,6,0
1157,2022-04-21,Japan,43,4,5,68,1
1158,2022-04-22,Afghanistan,9,1,1,25,1
1159,2022-04-22,Sweden,2,0,1,6,0
1160,2022-04-22,Japan,43,5,5,66,2
1161,2022-04-23,Afghanistan,9,1,1,25,1
1162,2022-04-23,Sweden,2,0,0,6,1
1163,2022-04-23,Japan,43,5,3,68,2
1164,2022-04-24,Afghanistan,9,1,1,25,1
1165,2022-04-24,Sweden,2,0,0,6,1
1166,2022-04-24,Japan,43,4,5,67,2
1167,2022-04-25,Afghanistan,9,1,0,26,1
1168,2022-04-25,Sweden,2,1,0,5,1
1169,2022-04-25,Japan,43,4,5,65,4
1170,2022-04-26,Afghanistan,9,0,1,26,1
1171,2022-04-26,Sweden,2,2,0,4,1
1172,2022-04-26,Japan,43,5,4,64,5
1173,2022-04-27,Afghanistan,9,1,1,25,1
1174,2022-04-27,Sweden,2,1,1,4,1
1175,2022-04-27,Japan,43,5,7,61,5
1176,2022-04-28,Afghanistan,9,0,2,25,1
1177,2022-04-28,Sweden,2,2,1,3,1
1178,2022-04-28,Japan,43,7,5,60,6
1179,2022-04-29,Afghanistan,9,2,2,23,1
1180,2022-04-29,Sweden,2,0,3,3,1
1181,2022-04-29,Japan,43,10,5,55,8
1182,2022-04-30,Afghanistan,9,2,1,23,2
1183,2022-04-30,Sweden,2,0,3,3,1
1184,2022-04-30,Japan,43,8,9,53,8
